date,worker_id,shift,dock_id,dock_in_use,items_picked,hours_worked,orders_completed,errors
2023-01-01 00:00:00,W039,AM,7,1,45,0.7,12,0
2023-01-01 01:00:00,W029,AM,2,0,47,0.61,12,0
2023-01-01 02:00:00,W015,Night,3,0,38,0.66,8,2
2023-01-01 03:00:00,W043,AM,4,0,33,0.93,12,1
2023-01-01 04:00:00,W008,PM,2,1,56,0.75,6,0
2023-01-01 05:00:00,W021,AM,6,0,48,0.68,3,0
2023-01-01 06:00:00,W039,PM,1,1,48,0.77,6,0
2023-01-01 07:00:00,W019,PM,1,0,39,0.57,9,0
2023-01-01 08:00:00,W023,PM,5,1,45,0.5,7,0
2023-01-01 09:00:00,W011,PM,5,1,45,0.64,7,0
2023-01-01 10:00:00,W011,PM,4,1,63,0.8,8,1
2023-01-01 11:00:00,W024,AM,6,1,51,0.86,12,1
2023-01-01 12:00:00,W036,PM,7,1,46,0.91,5,2
2023-01-01 13:00:00,W040,AM,1,1,42,0.96,7,0
2023-01-01 14:00:00,W024,PM,1,0,37,0.71,9,0
2023-01-01 15:00:00,W003,Night,1,0,47,0.87,6,1
2023-01-01 16:00:00,W022,PM,7,1,41,0.54,6,0
2023-01-01 17:00:00,W002,Night,1,1,38,0.53,5,0
2023-01-01 18:00:00,W024,PM,3,1,66,0.56,6,0
2023-01-01 19:00:00,W044,PM,6,0,38,0.72,9,0
2023-01-01 20:00:00,W030,PM,2,0,50,0.61,13,0
2023-01-01 21:00:00,W038,Night,2,0,61,0.64,7,1
2023-01-01 22:00:00,W002,Night,4,1,43,0.82,4,0
2023-01-01 23:00:00,W021,PM,3,1,49,0.68,9,1
2023-01-02 00:00:00,W033,AM,1,1,49,0.78,9,0
2023-01-02 01:00:00,W012,PM,1,1,41,0.71,6,0
2023-01-02 02:00:00,W022,Night,5,1,51,0.58,6,0
2023-01-02 03:00:00,W044,PM,5,1,46,0.54,8,1
2023-01-02 04:00:00,W025,Night,4,0,52,0.62,7,1
2023-01-02 05:00:00,W049,Night,1,1,52,0.53,13,0
2023-01-02 06:00:00,W027,Night,4,0,38,0.81,8,0
